FQKpGJGQjwHCFJnFFqhPW,ARC036,ARC,F,4480,601062,RF
7DB8PHKBk7n8frjdt8CwN,ARC036,ARC,F,4480,601063,N
mMqTmPPKhRNWdwpbnNfpT,ARC037,ARC,F,4480,601064,RF
jkDgkzrk7HfHjbNzGRktz,ARC037,ARC,F,4480,601065,N
hzMhpBcdGkN7k7kJcqK9D,ARC038,ARC,F,4480,601066,N
MdGhh8KCtJwpwhGHdTHfR,ARC039,ARC,F,4480,601067,N
LkQ6G69thbCGftgdBLkJm,ARC040,ARC,F,4480,601068,N
C99FLBtB9wnQQ8RpTMLWj,ARC041,ARC,F,4480,601069,CF
gLHJpqQtqQNCGF7Fw6zjf,ARC042,ARC,F,4480,601070,CF
7NLcCJhzMcBFrhbjTnFzF,ARC042,ARC,F,4480,601071,N
jQBcMQLfm9hMLLQMW9zFG,ARC043,ARC,F,4480,601072,N
F9HkRmgzjRLGFCfH89DLc,ARC043,ARC,F,4480,601073,N
FDH97WDHQfTfNT6qcnBWb,ARC044,ARC,F,4480,601074,RF
jTdtcBBKwJQ8FP8mDLwww,ARC044,ARC,F,4480,601075,N
GFHPhDG8KKLMnzFbqBBbh,ARC045,ARC,F,4480,601076,RF
bRQ8dWj6htf8M9LQFQNBG,ARC045,ARC,F,4480,601077,N
FzqtnjQH77tQPLc6PBmrQ,ARC046,ARC,F,4480,601078,RF
b7z8B8NqdgLfFKLrQ9pqF,ARC046,ARC,F,4480,601079,N
Wb6whDHHhFkpfch6Fqhpd,ARC047,ARC,F,4480,601080,RF
FPqDKB8gkgW6cKzRKLNJr,ARC047,ARC,F,4480,601081,N
7P8wR7zdff6zqRHLNRFnb,ARC048,ARC,F,4480,601082,RF
PKbGDRgz7Bht9HHkjCcL9,ARC048,ARC,F,4480,601083,N
wnBw8D6drjhRQr6fJWTzh,ARC049,ARC,F,4480,601084,RF
nwWb9chNhfzrHGb9qddjt,ARC049,ARC,F,4480,601085,N
969HrrkTngfmJ6Gqp66RW,ARC050,ARC,F,4480,601086,RF
K9GdTHPthHJhbRbnN7t8P,ARC050,ARC,F,4480,601087,N
PhG9WRGgdRB9gmpdjRFTB,ARC051,ARC,F,4480,601088,RF
TMNDKNcGBPWfkwgpfcRHk,ARC051,ARC,F,4480,601089,N
dFFwnwcGKThGpMk9grrQQ,ARC052,ARC,F,4480,601090,RF
wtJw9HPkwCTPkKBFqkhTT,ARC052,ARC,F,4480,601091,N
9QTLDrRb6hNCjHGFDkCgJ,ARC053,ARC,F,4480,601092,RF
kdjWhkfqFbTDtLKFFjQbJ,ARC053,ARC,F,4480,601093,N
Rf6d8gNWcBHtDqrggpqQB,ARC054,ARC,F,4480,601094,RF
CQpg6bBTkgCfRqDMg69HG,ARC054,ARC,F,4480,601095,N
npk9kRkj6h8PdwjrbmTJg,ARC055,ARC,F,4480,601096,RF
dqPTddLLk6J6whmwfm9Pk,ARC055,ARC,F,4480,601097,N
QgNQBcPcD9w7mr9rD6F8M,ARC056,ARC,F,4480,601098,RF
RqFLWGWwhLhHgG7nG8DwP,ARC056,ARC,F,4480,601099,N
Bz6pNfMfn6Bh9QMFbb7HC,ARC057,ARC,F,4480,601100,RF
W7nQJ76HjNzpM8wqJBDbG,ARC057,ARC,F,4480,601101,N
wRmmDhfq9b6RL7bfdbmND,ARC058,ARC,F,4480,601102,RF
zq7mDKzwdTR6qf9WK6Djf,ARC058,ARC,F,4480,601103,N
9Dz8r9HKRKMNRWpPCptMh,ARC059,ARC,F,4480,601104,RF
